Time,Y_G25,P_G25,I_G25,OilP_G25,Y_MX_G25,P_MX_G25,NEER_MX_G25,I_MX_G25,Y_W25,P_W25,I_W25,OIL_W25,Y_MX_W25,P_MX_W25,NEER_MX_W25,I_MX_W25,dummy_20q2,dummy_20q3
2014-Q1,0.857144169,1.092574517,0.235843222,-1.340995585,0.6497259,1.300313075,-1.001756832,3.5,0.86163568,1.087596885,0.235843222,-1.340995585,0.6488544,1.300589686,-1.001766253,3.5,0,0
2014-Q2,2.305970568,-0.15588707,0.228176746,1.739100893,1.3081691,0.786162526,1.738922481,3,2.301981541,-0.146453773,0.228176746,1.739100893,1.3094762,0.784653172,1.73893395,3,0,0
2014-Q3,0.479964605,-0.265415194,0.234285244,-7.035902604,0.146566992,1.054734124,-0.530246042,3,0.482378021,-0.270530415,0.234285244,-7.035902604,0.14639194,1.055647295,-0.530253492,3,0,0
2014-Q4,1.951138582,-1.376106712,0.23628191,-25.59118395,0.8513477,0.979343206,-3.364805622,3,1.952193908,-1.374020638,0.23628191,-25.59118395,0.8511429,0.979887502,-3.364794143,3,0,0
2015-Q1,0.924421954,-2.029323651,0.260345592,-28.84615216,0.47097316,0.195393563,-5.095212302,3,0.930257025,-2.034896878,0.260345592,-28.84615216,0.46996925,0.194352983,-5.095217811,3,0,0
2015-Q2,0.759631973,-0.260227634,0.279402735,14.89965073,0.9091338,0.704811756,-2.284293674,3,0.758680024,-0.250574396,0.279402735,14.89965073,0.9103553,0.705122688,-2.284289503,3,0,0
2015-Q3,0.53561855,-0.469794621,0.31419281,-19.43259358,1.16348081,0.69984077,-5.481064204,3,0.536247029,-0.474769595,0.31419281,-19.43259358,1.16380746,0.700185521,-5.481068853,3,0,0
2015-Q4,0.054326215,-1.466126105,0.408522078,-13.21274264,-0.290922232,0.655304121,-1.277303027,3.25,0.054615473,-1.466849712,0.408522078,-13.21274264,-0.291470925,0.656364102,-1.277293415,3.25,0,0
2016-Q1,-0.3811656,-1.223170435,0.624757183,-20.87363324,-0.05778804,0.598372067,-6.632141237,3.75,-0.384066156,-1.215805351,0.624757183,-20.87363324,-0.05590563,0.594750953,-6.632161332,3.75,0,0
2016-Q2,0.444978303,0.511274645,0.643047652,33.74883456,0.37501964,0.609332369,-1.447165598,4.25,0.451109264,0.496454219,0.643047652,33.74883456,0.3724416,0.612490434,-1.447159069,4.25,0,0
2016-Q3,0.705150776,0.592200725,0.785404387,-0.329396916,0.886834964,0.868274075,-3.303586161,4.75,0.704897004,0.600491817,0.785404387,-0.329396916,0.888648307,0.868118838,-3.303583854,4.75,0,0
2016-Q4,1.265415771,1.112683776,0.920825149,9.337362331,1.12072643,1.12961559,-4.113718849,5.75,1.266230291,1.111755065,0.920825149,9.337362331,1.11921474,1.130973276,-4.113717559,5.75,0,0
2017-Q1,1.509055624,1.197893416,1.068334134,8.067891513,0.558305632,2.340977127,-1.998152879,6.5,1.506595108,1.193252491,1.068334134,8.067891513,0.55679852,2.336775222,-1.998143916,6.5,0,0
2017-Q2,1.377501687,-0.006915683,1.202429875,-7.738738938,0.1481751,1.619427861,8.481341043,7,1.375593403,0.002910184,1.202429875,-7.738738938,0.1505416,1.620959493,8.481309179,7,0,0
2017-Q3,0.239441318,0.473646741,1.31499513,5.168302557,-0.61281292,1.189964887,2.529311312,7,0.238522312,0.469146569,1.31499513,5.168302557,-0.61093494,1.191831051,2.52933418,7,0,0
2017-Q4,2.614497831,1.286664851,1.465583126,17.80335947,1.40263174,1.301225692,-5.928649192,7.25,2.617817822,1.283524767,1.465583126,17.80335947,1.39908036,1.302942769,-5.928645239,7.25,0,0
2018-Q1,0.588149325,1.043038699,1.927333509,7.992823168,1.26819244,1.100530838,-0.448502373,7.5,0.591205211,1.053328641,1.927333509,7.992823168,1.266795,1.091811788,-0.448529795,7.5,0,0
2018-Q2,0.456122678,1.345092936,2.338432952,11.67669167,-0.3405557,0.935228238,-2.452435858,7.75,0.450442374,1.332621343,2.338432952,11.67669167,-0.33818538,0.942014815,-2.452415535,7.75,0,0
2018-Q3,1.033292472,0.882083196,2.337373394,0.61562039,0.4077276,1.424434389,4.189778334,7.75,1.033980735,0.886400084,2.337373394,0.61562039,0.41401323,1.425392547,4.189779926,7.75,0,0
2018-Q4,0.780431103,-0.414528345,2.632517573,-9.938930487,-0.1717273,1.290648573,-3.539209327,8.25,0.78130862,-0.415156275,2.632517573,-9.938930487,-0.18088102,1.293862374,-3.539216281,8.25,0,0
2019-Q1,-0.127436796,-0.568612491,2.685510163,-6.478220812,0.01030835,0.481166231,2.643252028,8.25,-0.128565554,-0.569635635,2.685510163,-6.478220812,0.006910761,0.468646673,2.643252319,8.25,0,0
2019-Q2,0.738740927,0.672152364,2.506238984,10.27302538,-0.25894887,0.914507139,0.898862209,8.25,0.741219084,0.678876303,2.506238984,10.27302538,-0.25120124,0.920874121,0.89886818,8.25,0,0
2019-Q3,-0.456667438,-0.456259551,2.194543513,-10.89091456,-0.03862874,0.51387306,-0.967106878,7.75,-0.457333931,-0.4607881,2.194543513,-10.89091456,-0.02749687,0.518383118,-0.967114399,7.75,0,0
2019-Q4,-1.571159029,-0.269534299,1.929936903,3.621981021,-0.696216328,1.026365128,0.941902883,7.25,-1.569326761,-0.271381382,1.929936903,3.621981021,-0.71605635,1.031547571,0.94190225,7.25,0,0
2020-Q1,-3.340973915,-0.092044652,1.533673152,-20.91523618,-1.15332291,0.959410646,-2.831909974,6.5,-3.343436038,-0.096036447,1.533673152,-20.91523618,-1.15465508,0.938196035,-2.831896008,6.5,0,0
2020-Q2,-16.87953224,-3.976873535,0.60136103,-45.4054677,-18.937513,0.22430553,-13.84209937,5,-16.87479103,-3.963660124,0.60136103,-45.4054677,-18.926767,0.235099731,-13.84209882,5,1,0
2020-Q3,15.24867975,2.627871929,0.25247185,55.88126671,15.454849,1.574265381,3.711683654,4.25,15.24653703,2.618975799,0.25247185,55.88126671,15.474472,1.581838884,3.711654215,4.25,0,1
2020-Q4,6.943042059,1.61640662,0.225292704,1.554152264,4.3712738,0.746955867,6.217683735,4.25,6.939502987,1.611048852,0.225292704,1.554152264,4.3335384,0.755667739,6.21769582,4.25,0,0
2021-Q1,2.362626912,4.472408883,0.201202564,38.8448783,0.73446424,1.418666507,0.277186413,4,2.360241773,4.47294182,0.201202564,38.8448783,0.72668577,1.379146181,0.27719202,4,0,0
2021-Q2,1.888077937,4.107999046,0.156819416,13.04570651,0.9401609,2.092032409,1.711684947,4.25,1.893521073,4.111726121,0.156819416,13.06707683,0.9710333,2.115996046,1.71166913,4.25,0,0
2021-Q3,1.838131766,2.735953732,0.126009697,7.258224046,-0.97453078,1.371871883,0.605168988,4.5,1.843012299,2.732767663,0.126009697,7.237951632,-0.93589559,1.384122417,0.605177234,4.5,0,0
2021-Q4,4.573578085,2.221266627,0.164231458,8.190569561,1.239705,1.959799933,-2.889779596,5.5,4.564842692,2.220410217,0.164231458,8.190569561,1.1619669,1.968271533,-2.889762356,5.5,0,0
2022-Q1,2.715354311,4.451940301,0.508510347,29.11761961,1.49097294,1.71210883,1.552615382,6.5,2.716600245,4.448841274,0.508510347,29.11761961,1.4789117,1.659862187,1.552602248,6.5,0,0
2022-Q2,1.573502232,4.831752035,1.511764625,11.45275948,1.1356281,2.4779999,4.319200547,7.75,1.577107304,4.813722247,1.511764625,11.45275948,1.19112847,2.503879357,4.319210997,7.75,0,0
2022-Q3,-0.857703714,-1.428632694,3.00398414,-8.545692123,0.64322738,2.082797825,1.083563337,9.25,-0.857242974,-1.439153797,3.00398414,-8.545692123,0.72584676,2.108015276,1.083555533,9.25,0,0
2022-Q4,-1.173646298,-1.349708227,4.509661753,-14.28913028,1.27730553,1.515903551,3.658856793,10.5,-1.203703775,-1.343589893,4.509661753,-14.28913028,1.1040375,1.524015564,3.658856933,10.5,0,0
2023-Q1,-0.251193485,-0.474614659,4.914915729,-9.426481246,0.72079279,1.201046266,3.543894987,11.25,-0.285404794,-0.483470427,4.914915729,-9.426481246,0.74866778,1.133964961,3.543899173,11.25,0,0
2023-Q2,-0.354643321,-1.124314654,5.385191242,-2.990021629,0.82898435,0.796129944,6.151461081,11.25,-0.389290901,-1.104946142,5.385191242,-2.990021629,0.894663035,0.82340516,6.151458477,11.25,0,0
2023-Q3,0.854098447,0.706708967,5.62953568,9.884837031,0.538736789,1.021012449,4.326671919,11.25,0.846840251,0.70473127,5.62953568,9.884837031,0.677018562,1.06067771,4.326663712,11.25,0,0
2023-Q4,0.891176809,-0.045577684,5.642173874,-1.029787056,0.36563436,1.327921939,-2.45295864,11.25,0.863103964,-0.040248613,5.642173874,-1.029787056,0.07104274,1.331456494,-2.452950178,11.25,0,0
2024-Q1,1.235535318,0.760568128,5.580693768,-1.602366534,-0.03183638,1.317110778,3.226748643,11,1.257104254,0.757820614,5.580693768,-1.602366534,0.06267726,1.245582132,3.226744136,11,0,0
2024-Q2,1.819684723,0.888977905,5.59139568,0.848315888,0.28734456,1.06210058,-0.646464943,11,1.879601918,0.852555963,5.59139568,0.848315888,0.36132211,1.081538842,-0.646483,11,0,0
2024-Q3,2.189904719,-0.201247376,5.332687111,-4.920836501,0.915207224,1.242526987,-9.495811247,10.5,2.162753647,-0.212803324,5.332687111,-4.920836501,1.07608424,1.295797697,-9.495803723,10.5,0,0
2024-Q4,0.005647751,0.251239408,4.683910119,-7.035438597,-0.63182355,0.805223707,-5.132538879,10,0.022190388,0.108817255,4.683910119,-7.035438597,-0.60000177,0.808864875,-5.132528034,10,0,0
2025-Q1,0.645796472,0.50560412,4.340435154,1.126994179,,0.437739084,-1.116885776,9,0.551725661,0.76166679,4.430990136,2.851168053,,,0,10,0,0
2025-Q2,-1.364468799,0.499200122,4.444895466,-5.064020554,,,0,9,0.456617928,0.518477448,4.483200378,-3.491847536,,,0,10,0,0
2025-Q3,-0.30562199,0.986872465,4.216981275,-2.18751357,,,0,9,0.3942284,0.556598268,4.392820713,-2.322004751,,,0,10,0,0
2025-Q4,0.20319697,0.799279843,4.044888552,-1.839740647,,,0,9,0.504028639,0.525075693,4.326667793,-1.785511718,,,0,10,0,0
2026-Q1,0.440265411,0.725263828,3.919204473,-1.265230734,,,0,9,0.603033065,0.460558892,4.279614294,-1.411873412,,,0,,0,0
2026-Q2,0.589914639,0.735276972,3.831830697,-0.729422456,,,0,,0.653367769,0.432663987,4.247402537,-0.919894655,,,0,,0,0
2026-Q3,0.651138177,0.609734704,3.773380993,-0.567277119,,,0,,0.607466699,0.410140348,4.225645763,-0.803098883,,,0,,0,0
2026-Q4,0.661804005,0.361007737,3.739292778,-0.319781393,,,0,,0.675287937,0.305666433,4.212009399,-0.599810235,,,0,,0,0
2027-Q1,0.708666468,0.278523518,3.724493329,-0.332598048,,,0,,0.667100351,0.265182556,4.204207083,-0.587600432,,,0,,0,0
2027-Q2,0.699548864,0.358152281,3.724546256,-0.149355258,,,0,,0.640939001,0.317380225,4.20040662,-0.38455971,,,0,,0,0
2027-Q3,0.678715753,0.370336459,3.735875491,-0.146123049,,,0,,0.631840372,0.332489822,4.199107159,-0.343419568,,,0,,0,0
2027-Q4,0.678634201,0.171583553,3.755585947,-0.07662911,,,0,,0.643020843,0.255764104,4.199324425,-0.26294813,,,0,,0,0
